Data as of,Start Date,End Date,Group,Year,Month,MMWR Week,Week Ending Date,State,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
10/24/24,6/13/21,6/19/21,By Week,2021,,24,6/19/21,Florida,183,4381,117,341,121,,404,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,6/20/21,6/26/21,By Week,2021,,25,6/26/21,Florida,161,4491,116,317,104,0,374,
10/24/24,6/27/21,7/3/21,By Week,2021,,26,7/3/21,Florida,187,4398,116,357,123,0,421,
10/24/24,7/4/21,7/10/21,By Week,2021,,27,7/10/21,Florida,223,4463,115,382,147,,458,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,7/11/21,7/17/21,By Week,2021,,28,7/17/21,Florida,304,4494,120,440,202,,543,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,7/18/21,7/24/21,By Week,2021,,29,7/24/21,Florida,485,4872,131,551,305,,731,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,7/25/21,7/31/21,By Week,2021,,30,7/31/21,Florida,900,5326,143,867,606,,1164,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,8/1/21,8/7/21,By Week,2021,,31,8/7/21,Florida,1508,5978,159,1297,1040,,1765,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,8/8/21,8/14/21,By Week,2021,,32,8/14/21,Florida,2174,6638,177,1759,1507,,2426,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,8/15/21,8/21/21,By Week,2021,,33,8/21/21,Florida,2641,7165,195,2100,1855,,2887,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,8/22/21,8/28/21,By Week,2021,,34,8/28/21,Florida,2851,7349,200,2241,2010,0,3082,
10/24/24,8/29/21,9/4/21,By Week,2021,,35,9/4/21,Florida,2819,7184,196,2237,2021,,3036,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,9/5/21,9/11/21,By Week,2021,,36,9/11/21,Florida,2389,6794,182,1960,1682,,2668,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,9/12/21,9/18/21,By Week,2021,,37,9/18/21,Florida,1927,6285,164,1563,1333,,2158,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,9/19/21,9/25/21,By Week,2021,,38,9/25/21,Florida,1562,5846,153,1291,1052,,1803,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,9/26/21,10/2/21,By Week,2021,,39,10/2/21,Florida,1164,5493,145,1072,820,0,1416,
10/24/24,10/3/21,10/9/21,By Week,2021,,40,10/9/21,Florida,851,5104,133,820,597,,1075,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,10/10/21,10/16/21,By Week,2021,,41,10/16/21,Florida,630,4924,129,699,443,,886,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,10/17/21,10/23/21,By Week,2021,,42,10/23/21,Florida,489,4613,123,536,308,,718,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,10/24/21,10/30/21,By Week,2021,,43,10/30/21,Florida,344,4587,120,495,221,0,618,
10/24/24,10/31/21,11/6/21,By Week,2021,,44,11/6/21,Florida,293,4538,117,449,197,0,545,
10/24/24,11/7/21,11/13/21,By Week,2021,,45,11/13/21,Florida,230,4547,117,380,153,,458,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,11/14/21,11/20/21,By Week,2021,,46,11/20/21,Florida,185,4576,115,331,122,,395,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,11/21/21,11/27/21,By Week,2021,,47,11/27/21,Florida,156,4344,110,312,96,0,372,
10/24/24,11/28/21,12/4/21,By Week,2021,,48,12/4/21,Florida,169,4647,116,342,105,,413,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,12/5/21,12/11/21,By Week,2021,,49,12/11/21,Florida,170,4625,113,387,116,,444,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,12/12/21,12/18/21,By Week,2021,,50,12/18/21,Florida,158,4546,107,327,93,,395,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,12/19/21,12/25/21,By Week,2021,,51,12/25/21,Florida,191,4530,110,352,110,,437,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,12/26/21,1/1/22,By Week,2021/2022,,52,1/1/22,Florida,300,4869,115,440,174,,573,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,1/2/22,1/8/22,By Week,2022,,1,1/8/22,Florida,560,5220,122,629,340,,856,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,1/9/22,1/15/22,By Week,2022,,2,1/15/22,Florida,1023,5751,130,890,624,,1293,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,1/16/22,1/22/22,By Week,2022,,3,1/22/22,Florida,1327,5996,137,1105,835,10,1605,
10/24/24,1/23/22,1/29/22,By Week,2022,,4,1/29/22,Florida,1319,6113,142,1161,853,,1628,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,1/30/22,2/5/22,By Week,2022,,5,2/5/22,Florida,1227,5992,134,1049,772,,1508,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,2/6/22,2/12/22,By Week,2022,,6,2/12/22,Florida,1024,5660,129,853,606,,1274,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,2/13/22,2/19/22,By Week,2022,,7,2/19/22,Florida,806,5406,124,773,501,,1082,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,2/20/22,2/26/22,By Week,2022,,8,2/26/22,Florida,592,5008,118,590,359,,825,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,2/27/22,3/5/22,By Week,2022,,9,3/5/22,Florida,434,4779,113,486,255,,670,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,3/6/22,3/12/22,By Week,2022,,10,3/12/22,Florida,310,4809,114,394,153,,556,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,3/13/22,3/19/22,By Week,2022,,11,3/19/22,Florida,221,4568,109,377,133,,468,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,3/20/22,3/26/22,By Week,2022,,12,3/26/22,Florida,189,4477,105,328,88,,433,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,3/27/22,4/2/22,By Week,2022,,13,4/2/22,Florida,138,4594,109,334,60,,420,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,4/3/22,4/9/22,By Week,2022,,14,4/9/22,Florida,122,4295,103,268,42,,349,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,4/10/22,4/16/22,By Week,2022,,15,4/16/22,Florida,106,4327,105,276,46,,338,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,4/17/22,4/23/22,By Week,2022,,16,4/23/22,Florida,94,4296,107,274,47,,322,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,4/24/22,4/30/22,By Week,2022,,17,4/30/22,Florida,98,4358,109,244,34,,310,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,5/1/22,5/7/22,By Week,2022,,18,5/7/22,Florida,95,4354,110,269,37,,330,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,5/8/22,5/14/22,By Week,2022,,19,5/14/22,Florida,93,4305,109,280,44,,332,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,5/15/22,5/21/22,By Week,2022,,20,5/21/22,Florida,125,4362,112,293,49,,375,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,5/22/22,5/28/22,By Week,2022,,21,5/28/22,Florida,153,4312,114,279,72,,364,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,5/29/22,6/4/22,By Week,2022,,22,6/4/22,Florida,185,4457,114,329,73,11,451,
10/24/24,6/5/22,6/11/22,By Week,2022,,23,6/11/22,Florida,201,4548,117,342,86,14,471,
10/24/24,6/12/22,6/18/22,By Week,2022,,24,6/18/22,Florida,237,4446,118,358,115,13,493,
10/24/24,6/19/22,6/25/22,By Week,2022,,25,6/25/22,Florida,287,4529,117,342,122,,515,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,6/26/22,7/2/22,By Week,2022,,26,7/2/22,Florida,266,4336,115,286,107,,451,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,7/3/22,7/9/22,By Week,2022,,27,7/9/22,Florida,301,4361,112,392,134,,564,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,7/10/22,7/16/22,By Week,2022,,28,7/16/22,Florida,319,4449,119,342,134,,531,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,7/17/22,7/23/22,By Week,2022,,29,7/23/22,Florida,345,4645,125,382,146,,584,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,7/24/22,7/30/22,By Week,2022,,30,7/30/22,Florida,346,4456,120,369,139,,579,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,7/31/22,8/6/22,By Week,2022,,31,8/6/22,Florida,358,4524,120,375,155,,581,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,8/7/22,8/13/22,By Week,2022,,32,8/13/22,Florida,343,4434,118,389,151,,586,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,8/14/22,8/20/22,By Week,2022,,33,8/20/22,Florida,350,4614,125,386,174,,564,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,8/21/22,8/27/22,By Week,2022,,34,8/27/22,Florida,303,4509,122,347,134,,517,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,8/28/22,9/3/22,By Week,2022,,35,9/3/22,Florida,294,4391,120,313,126,,482,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,9/4/22,9/10/22,By Week,2022,,36,9/10/22,Florida,258,4446,119,311,101,,471,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,9/11/22,9/17/22,By Week,2022,,37,9/17/22,Florida,220,4441,116,330,100,,452,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,9/18/22,9/24/22,By Week,2022,,38,9/24/22,Florida,212,4364,114,308,83,,440,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,9/25/22,10/1/22,By Week,2022,,39,10/1/22,Florida,177,4253,112,284,78,,385,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,10/2/22,10/8/22,By Week,2022,,40,10/8/22,Florida,148,4438,116,305,62,,392,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,10/9/22,10/15/22,By Week,2022,,41,10/15/22,Florida,142,4387,115,291,60,,377,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,10/16/22,10/22/22,By Week,2022,,42,10/22/22,Florida,154,4397,117,330,68,,417,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,10/23/22,10/29/22,By Week,2022,,43,10/29/22,Florida,129,4478,117,292,47,,380,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,10/30/22,11/5/22,By Week,2022,,44,11/5/22,Florida,109,4412,114,276,48,,345,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,11/6/22,11/12/22,By Week,2022,,45,11/12/22,Florida,98,4436,114,280,34,,351,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,11/13/22,11/19/22,By Week,2022,,46,11/19/22,Florida,120,4352,109,302,54,14,381,
10/24/24,11/20/22,11/26/22,By Week,2022,,47,11/26/22,Florida,132,4510,114,312,65,18,397,
10/24/24,11/27/22,12/3/22,By Week,2022,,48,12/3/22,Florida,131,4384,110,316,63,31,412,
10/24/24,12/4/22,12/10/22,By Week,2022,,49,12/10/22,Florida,154,4627,113,350,80,21,444,
10/24/24,12/11/22,12/17/22,By Week,2022,,50,12/17/22,Florida,142,4486,106,374,66,24,472,
10/24/24,12/18/22,12/24/22,By Week,2022,,51,12/24/22,Florida,152,4723,114,361,85,21,447,
10/24/24,12/25/22,12/31/22,By Week,2022,,52,12/31/22,Florida,193,5026,119,405,99,44,542,
10/24/24,1/1/23,1/7/23,By Week,2023,,1,1/7/23,Florida,223,5078,119,425,112,40,574,
10/24/24,1/8/23,1/14/23,By Week,2023,,2,1/14/23,Florida,220,4979,113,418,112,35,558,
10/24/24,1/15/23,1/21/23,By Week,2023,,3,1/21/23,Florida,250,5133,117,482,134,29,627,
10/24/24,1/22/23,1/28/23,By Week,2023,,4,1/28/23,Florida,207,4750,111,404,116,29,522,
10/24/24,1/29/23,2/4/23,By Week,2023,,5,2/4/23,Florida,207,4813,108,408,114,16,515,
10/24/24,2/5/23,2/11/23,By Week,2023,,6,2/11/23,Florida,179,4780,109,394,96,,484,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,2/12/23,2/18/23,By Week,2023,,7,2/18/23,Florida,157,4640,107,369,80,,451,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,2/19/23,2/25/23,By Week,2023,,8,2/25/23,Florida,159,4615,109,324,70,,420,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,2/26/23,3/4/23,By Week,2023,,9,3/4/23,Florida,122,4644,110,305,55,,377,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,3/5/23,3/11/23,By Week,2023,,10,3/11/23,Florida,113,4549,108,328,55,,393,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,3/12/23,3/18/23,By Week,2023,,11,3/18/23,Florida,106,4584,109,290,41,,360,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,3/19/23,3/25/23,By Week,2023,,12,3/25/23,Florida,95,4640,109,321,43,,382,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,3/26/23,4/1/23,By Week,2023,,13,4/1/23,Florida,91,4517,107,264,35,10,330,
10/24/24,4/2/23,4/8/23,By Week,2023,,14,4/8/23,Florida,86,4397,106,286,36,,339,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,4/9/23,4/15/23,By Week,2023,,15,4/15/23,Florida,90,4481,109,293,32,,354,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,4/16/23,4/22/23,By Week,2023,,16,4/22/23,Florida,73,4444,111,303,41,,338,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,4/23/23,4/29/23,By Week,2023,,17,4/29/23,Florida,81,4311,108,301,38,,349,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,4/30/23,5/6/23,By Week,2023,,18,5/6/23,Florida,73,4368,110,259,30,,303,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,5/7/23,5/13/23,By Week,2023,,19,5/13/23,Florida,74,4298,109,269,37,,310,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,5/14/23,5/20/23,By Week,2023,,20,5/20/23,Florida,61,4277,110,264,27,,301,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,5/21/23,5/27/23,By Week,2023,,21,5/27/23,Florida,66,4232,112,267,28,,310,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,5/28/23,6/3/23,By Week,2023,,22,6/3/23,Florida,63,4338,111,268,27,,308,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,6/4/23,6/10/23,By Week,2023,,23,6/10/23,Florida,68,4265,109,254,28,,296,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,6/11/23,6/17/23,By Week,2023,,24,6/17/23,Florida,75,4352,116,289,34,,334,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,6/18/23,6/24/23,By Week,2023,,25,6/24/23,Florida,72,4249,110,279,34,,321,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,6/25/23,7/1/23,By Week,2023,,26,7/1/23,Florida,67,4272,113,221,27,,262,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,7/2/23,7/8/23,By Week,2023,,27,7/8/23,Florida,67,4455,114,274,31,,316,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,7/9/23,7/15/23,By Week,2023,,28,7/15/23,Florida,68,4321,115,238,29,,281,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,7/16/23,7/22/23,By Week,2023,,29,7/22/23,Florida,72,4277,115,234,36,,273,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,7/23/23,7/29/23,By Week,2023,,30,7/29/23,Florida,85,4366,118,257,39,,306,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,7/30/23,8/5/23,By Week,2023,,31,8/5/23,Florida,126,4373,116,315,66,,381,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,8/6/23,8/12/23,By Week,2023,,32,8/12/23,Florida,116,4422,118,260,49,,328,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,8/13/23,8/19/23,By Week,2023,,33,8/19/23,Florida,128,4218,115,309,60,,380,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,8/20/23,8/26/23,By Week,2023,,34,8/26/23,Florida,148,4368,119,310,76,,388,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,8/27/23,9/2/23,By Week,2023,,35,9/2/23,Florida,160,4351,119,291,84,,370,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,9/3/23,9/9/23,By Week,2023,,36,9/9/23,Florida,151,4276,115,302,71,,388,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,9/10/23,9/16/23,By Week,2023,,37,9/16/23,Florida,148,4312,113,321,69,,405,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,9/17/23,9/23/23,By Week,2023,,38,9/23/23,Florida,142,4320,113,301,84,,365,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,9/24/23,9/30/23,By Week,2023,,39,9/30/23,Florida,125,4246,112,296,71,,353,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,10/1/23,10/7/23,By Week,2023,,40,10/7/23,Florida,104,4195,109,277,59,,324,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,10/8/23,10/14/23,By Week,2023,,41,10/14/23,Florida,96,4319,113,298,49,10,355,
10/24/24,10/15/23,10/21/23,By Week,2023,,42,10/21/23,Florida,97,4213,112,270,45,,325,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,10/22/23,10/28/23,By Week,2023,,43,10/28/23,Florida,70,4291,112,273,40,,312,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,10/29/23,11/4/23,By Week,2023,,44,11/4/23,Florida,72,4329,112,265,32,,314,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,11/5/23,11/11/23,By Week,2023,,45,11/11/23,Florida,72,4442,114,321,31,11,370,
10/24/24,11/12/23,11/18/23,By Week,2023,,46,11/18/23,Florida,68,4324,108,296,34,12,342,
10/24/24,11/19/23,11/25/23,By Week,2023,,47,11/25/23,Florida,49,4145,105,264,19,11,302,
10/24/24,11/26/23,12/2/23,By Week,2023,,48,12/2/23,Florida,65,4401,110,306,30,18,357,
10/24/24,12/3/23,12/9/23,By Week,2023,,49,12/9/23,Florida,66,4614,113,326,33,18,376,
10/24/24,12/10/23,12/16/23,By Week,2023,,50,12/16/23,Florida,71,4554,108,314,28,15,372,
10/24/24,12/17/23,12/23/23,By Week,2023,,51,12/23/23,Florida,48,4519,109,302,15,29,364,
10/24/24,12/24/23,12/30/23,By Week,2023,,52,12/30/23,Florida,68,4582,108,339,39,42,408,
10/24/24,12/31/23,1/6/24,By Week,2024,,1,1/6/24,Florida,122,4952,116,407,57,41,510,
10/24/24,12/29/19,1/4/20,By Week,2019/2020,,1,1/4/20,New York,0,2164,100,211,0,16,227,
10/24/24,1/5/20,1/11/20,By Week,2020,,2,1/11/20,New York,0,2092,95,169,0,13,182,
10/24/24,1/12/20,1/18/20,By Week,2020,,3,1/18/20,New York,0,2169,102,188,0,19,207,
10/24/24,1/19/20,1/25/20,By Week,2020,,4,1/25/20,New York,,2023,93,176,0,,186,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,1/26/20,2/1/20,By Week,2020,,5,2/1/20,New York,0,2031,98,146,0,16,162,
10/24/24,2/2/20,2/8/20,By Week,2020,,6,2/8/20,New York,,2058,97,152,,21,174,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,2/9/20,2/15/20,By Week,2020,,7,2/15/20,New York,,1990,97,161,0,14,176,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,2/16/20,2/22/20,By Week,2020,,8,2/22/20,New York,,2033,97,158,,26,185,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,2/23/20,2/29/20,By Week,2020,,9,2/29/20,New York,0,2161,107,164,0,18,182,
10/24/24,3/1/20,3/7/20,By Week,2020,,10,3/7/20,New York,0,2072,100,165,0,23,188,
10/24/24,3/8/20,3/14/20,By Week,2020,,11,3/14/20,New York,,1981,99,171,,19,191,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,3/15/20,3/21/20,By Week,2020,,12,3/21/20,New York,44,2130,105,215,21,17,254,
10/24/24,3/22/20,3/28/20,By Week,2020,,13,3/28/20,New York,306,2545,129,429,185,15,563,
10/24/24,3/29/20,4/4/20,By Week,2020,,14,4/4/20,New York,1141,3777,195,957,638,15,1470,
10/24/24,4/5/20,4/11/20,By Week,2020,,15,4/11/20,New York,2033,4667,237,1336,1058,12,2319,
10/24/24,4/12/20,4/18/20,By Week,2020,,16,4/18/20,New York,2037,4466,231,1261,1024,,2277,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,4/19/20,4/25/20,By Week,2020,,17,4/25/20,New York,1604,3743,197,973,764,,1814,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,4/26/20,5/2/20,By Week,2020,,18,5/2/20,New York,1144,3130,164,676,514,,1307,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,5/3/20,5/9/20,By Week,2020,,19,5/9/20,New York,882,2779,154,526,400,,1009,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,5/10/20,5/16/20,By Week,2020,,20,5/16/20,New York,676,2508,137,435,301,0,810,
10/24/24,5/17/20,5/23/20,By Week,2020,,21,5/23/20,New York,462,2246,121,331,196,,597,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,5/24/20,5/30/20,By Week,2020,,22,5/30/20,New York,334,2115,121,247,129,0,452,
10/24/24,5/31/20,6/6/20,By Week,2020,,23,6/6/20,New York,264,1974,108,229,120,0,373,
10/24/24,6/7/20,6/13/20,By Week,2020,,24,6/13/20,New York,181,1899,103,186,77,0,290,
10/24/24,6/14/20,6/20/20,By Week,2020,,25,6/20/20,New York,128,1901,104,160,46,0,242,
10/24/24,6/21/20,6/27/20,By Week,2020,,26,6/27/20,New York,78,1931,105,153,31,0,200,
10/24/24,6/28/20,7/4/20,By Week,2020,,27,7/4/20,New York,61,1893,103,142,20,0,183,
10/24/24,7/5/20,7/11/20,By Week,2020,,28,7/11/20,New York,64,1893,106,140,18,0,186,
10/24/24,7/12/20,7/18/20,By Week,2020,,29,7/18/20,New York,59,1849,101,147,22,0,184,
10/24/24,7/19/20,7/25/20,By Week,2020,,30,7/25/20,New York,46,1814,102,129,16,0,159,
10/24/24,7/26/20,8/1/20,By Week,2020,,31,8/1/20,New York,41,1886,105,118,,0,150,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,8/2/20,8/8/20,By Week,2020,,32,8/8/20,New York,33,1877,105,133,15,0,151,
10/24/24,8/9/20,8/15/20,By Week,2020,,33,8/15/20,New York,39,1824,101,118,14,0,143,
10/24/24,8/16/20,8/22/20,By Week,2020,,34,8/22/20,New York,33,1876,106,115,10,0,138,
10/24/24,8/23/20,8/29/20,By Week,2020,,35,8/29/20,New York,25,1813,102,97,,0,118,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,8/30/20,9/5/20,By Week,2020,,36,9/5/20,New York,29,1797,101,106,12,0,123,
10/24/24,9/6/20,9/12/20,By Week,2020,,37,9/12/20,New York,27,1794,102,138,12,0,153,
10/24/24,9/13/20,9/19/20,By Week,2020,,38,9/19/20,New York,24,1880,105,135,,0,154,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,9/20/20,9/26/20,By Week,2020,,39,9/26/20,New York,21,2092,114,155,,0,170,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,9/27/20,10/3/20,By Week,2020,,40,10/3/20,New York,51,1983,107,139,17,,174,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
